,Total_Capacity_in_kWh_month,Total_Availability_day_in_hours,Total_Availability_evening_in_hours,Total_Reliability,Total_Quality,Total_Legality,Total_Health
0,0.0,,Missing_data,Missing_data,,0,
1,0.0,,Missing_data,Missing_data,,-1,
2,0.0,,Missing_data,Missing_data,,-1,
3,0.0,,Missing_data,Missing_data,,-1,
4,0.0,,Missing_data,Missing_data,,-1,
5,0.0,,Missing_data,Missing_data,,-1,
6,9.3,4.0,4.0,Missing_data,No,1,No
7,0.0,,Missing_data,Missing_data,,-1,
8,37.21,24.0,4.0,Missing_data,No,1,No
9,0.0,,Missing_data,Missing_data,,-1,
10,0.0,,Missing_data,Missing_data,,-1,
11,0.0,,Missing_data,Missing_data,,-1,
12,9.3,19.0,4.0,3.0,No,2,No
13,2.33,22.0,4.0,Missing_data,Yes,1,No
14,0.0,,Missing_data,Missing_data,,-1,
15,0.0,,Missing_data,Missing_data,,-1,
16,0.0,,Missing_data,Missing_data,,-1,
17,6.98,18.0,4.0,Missing_data,No,1,No
18,0.0,,Missing_data,Missing_data,,-1,
19,27.91,10.0,4.0,3.0,No,1,No
20,55.81,22.0,4.0,Missing_data,No,1,No
21,46.51,18.0,1.0,Missing_data,Yes,1,No
22,4.65,22.0,4.0,Missing_data,No,1,No
23,0.0,,Missing_data,Missing_data,,-1,
24,11.63,24.0,4.0,Missing_data,No,1,No
25,0.0,,Missing_data,Missing_data,,-1,
26,0.0,,Missing_data,Missing_data,,0,
27,46.51,19.0,1.0,2.0,Missing_data,1,No
28,27.91,22.0,2.0,1.0,Missing_data,1,No
29,55.81,4.0,3.0,2.0,No,1,No
30,13.95,24.0,4.0,Missing_data,No,1,No
31,9.3,22.0,3.0,2.0,Missing_data,1,No
32,0.0,24.0,4.0,Missing_data,No,1,No
33,23.26,22.0,3.0,2.0,Missing_data,1,No
34,11.63,18.0,1.0,1.0,Missing_data,1,No
35,23.26,24.0,4.0,Missing_data,Missing_data,2,No
36,0.0,24.0,4.0,Missing_data,No,1,No
37,27.91,24.0,4.0,Missing_data,No,1,No
38,139.53,16.0,3.0,3.0,Yes,1,No
39,9.3,22.0,4.0,Missing_data,No,2,No
40,0.0,,Missing_data,Missing_data,,-1,
41,9.3,24.0,4.0,Missing_data,No,1,No
42,13.95,24.0,4.0,Missing_data,Missing_data,1,No
43,20.93,12.0,4.0,Missing_data,Yes,1,No
44,0.0,,Missing_data,Missing_data,,0,
45,37.21,24.0,4.0,Missing_data,No,1,No
46,0.0,,Missing_data,Missing_data,,0,
47,37.21,11.0,3.0,Missing_data,No,1,No
48,0.0,,Missing_data,Missing_data,,-1,
49,4.65,12.0,3.0,3.0,Missing_data,1,No
50,0.0,,Missing_data,Missing_data,,-1,
51,0.0,,Missing_data,Missing_data,,-1,
52,0.0,,Missing_data,Missing_data,,-1,
53,0.0,,Missing_data,Missing_data,,-1,
54,0.0,,Missing_data,Missing_data,,-1,
55,18.6,23.0,4.0,Missing_data,No,1,No
56,20.93,2.0,1.0,3.0,Yes,1,No
57,4.65,22.0,4.0,1.0,Missing_data,1,No
58,4.65,23.0,4.0,Missing_data,No,1,No
59,0.0,,Missing_data,Missing_data,,-1,
60,27.91,24.0,4.0,Missing_data,No,1,No
61,93.02,12.0,4.0,Missing_data,No,1,No
62,13.95,24.0,4.0,Missing_data,No,1,No
63,0.0,,Missing_data,Missing_data,,-1,
64,0.0,,Missing_data,Missing_data,,-1,
65,23.26,22.0,4.0,Missing_data,No,1,No
66,32.56,20.0,4.0,Missing_data,No,1,No
67,4.65,12.0,4.0,Missing_data,No,2,No
68,23.26,,Missing_data,Missing_data,No,1,No
69,0.0,,Missing_data,Missing_data,,0,
70,0.0,,Missing_data,Missing_data,,0,
