,E_capacity,E_availability_day,E_availability_evening,E_reliability,E_quality,E_legality,E_health
0,0,0,0,0,0,5,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,3,1,4,0,0,5,5
7,0,0,0,0,0,0,0
8,4,5,4,0,0,5,5
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,3,4,4,5,0,5,5
13,2,4,4,0,5,5,5
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,3,4,4,0,0,5,5
18,0,0,0,0,0,0,0
19,4,3,4,5,0,5,5
20,4,4,4,0,0,5,5
21,4,4,1,0,5,5,5
22,2,4,4,0,0,5,5
23,0,0,0,0,0,0,0
24,3,5,4,0,0,5,5
25,0,0,0,0,0,0,0
26,0,0,0,0,0,5,0
27,4,4,1,5,0,5,5
28,4,4,2,5,0,5,5
29,4,1,3,5,0,5,5
30,3,5,4,0,0,5,5
31,3,4,3,5,0,5,5
32,0,5,4,0,0,5,5
33,3,4,3,5,0,5,5
34,3,4,1,5,0,5,5
35,3,5,4,0,0,5,5
36,0,5,4,0,0,5,5
37,4,5,4,0,0,5,5
38,5,4,3,5,5,5,5
39,3,4,4,0,0,5,5
40,0,0,0,0,0,0,0
41,3,5,4,0,0,5,5
42,3,5,4,0,0,5,5
43,3,3,4,0,5,5,5
44,0,0,0,0,0,5,0
45,4,5,4,0,0,5,5
46,0,0,0,0,0,5,0
47,4,3,3,0,0,5,5
48,0,0,0,0,0,0,0
49,2,3,3,5,0,5,5
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,3,5,4,0,0,5,5
56,3,0,1,5,5,5,5
57,2,4,4,5,0,5,5
58,2,5,4,0,0,5,5
59,0,0,0,0,0,0,0
60,4,5,4,0,0,5,5
61,5,3,4,0,0,5,5
62,3,5,4,0,0,5,5
63,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
65,3,4,4,0,0,5,5
66,4,4,4,0,0,5,5
67,2,3,4,0,0,5,5
68,3,0,0,0,0,5,5
69,0,0,0,0,0,5,0
70,0,0,0,0,0,5,0
71,4,0,2,5,0,5,5
72,4,4,4,0,0,5,5
73,0,0,0,0,0,0,0
74,5,3,1,5,0,5,5
75,0,0,0,0,0,5,5
76,0,0,0,0,0,0,0
77,5,4,4,0,5,5,5
78,3,0,1,0,0,5,5
79,4,4,3,0,5,5,5
80,3,5,4,0,0,5,5
81,4,5,4,0,0,5,5
82,0,0,0,0,0,0,0
83,3,4,3,5,0,5,5
84,2,4,4,5,0,5,5
85,4,5,4,0,0,5,5
86,3,4,4,0,0,5,5
87,3,5,4,0,0,5,5
88,3,5,4,0,0,5,5
89,0,0,0,0,0,5,0
90,3,4,3,0,0,5,5
91,0,0,0,0,0,5,0
92,3,4,4,5,0,5,5
93,5,5,4,0,0,5,5
94,3,4,4,0,0,5,5
95,2,5,4,0,0,5,5
96,3,3,2,5,0,5,5
97,3,5,4,0,0,5,5
98,0,0,0,0,0,5,0
99,0,5,3,0,0,5,5
100,3,5,4,0,0,5,5
101,3,3,4,0,0,5,5
102,4,5,4,0,0,5,5
103,4,4,3,0,5,5,5
104,4,5,4,0,0,5,5
105,3,5,4,0,0,5,5
106,3,4,3,0,0,5,5
107,4,4,4,5,0,5,5
108,4,3,3,5,5,5,5
109,3,5,4,0,0,5,5
110,0,0,0,0,0,0,0
111,3,5,4,0,0,5,5
112,3,3,3,5,0,5,5
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,2,5,4,0,0,5,5
116,3,5,4,0,0,5,5
117,3,5,4,0,0,5,5
118,3,4,3,0,0,5,5
119,3,5,4,0,0,5,5
120,5,0,4,0,0,5,5
121,3,1,3,0,0,5,5
122,0,0,0,0,0,0,0
123,0,5,3,0,0,5,5
124,0,0,0,0,0,0,0
125,3,3,4,5,5,5,5
126,2,0,2,0,0,5,5
127,3,0,0,0,0,5,5
128,3,4,4,0,0,5,5
129,3,3,4,0,0,5,5
130,3,5,4,0,5,5,5
131,4,5,4,0,0,5,5
132,0,0,0,0,0,0,0
133,3,3,4,5,0,5,5
134,0,0,0,0,0,0,0
135,3,4,4,0,0,5,5
136,2,5,4,0,0,5,5
137,2,5,4,0,0,5,5
138,3,5,4,0,0,5,5
139,3,5,4,0,0,5,5
140,3,3,1,5,0,5,5
141,0,0,0,0,0,0,0
142,2,3,4,0,0,5,5
143,0,0,0,0,0,0,0
144,3,5,3,5,0,5,5
145,3,3,3,0,0,5,5
146,4,5,4,0,0,5,5
147,3,4,4,0,0,5,5
148,3,5,4,0,0,5,5
149,5,5,4,0,0,5,5
150,4,5,4,0,5,5,5
151,0,4,4,0,0,5,5
152,4,4,4,3,0,5,5
153,4,0,0,0,0,5,5
154,4,4,4,0,0,5,5
155,4,3,3,0,0,5,5
156,2,5,4,0,0,5,5
157,5,5,4,0,5,5,5
158,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0
160,2,3,4,0,0,5,5
161,3,5,3,0,0,5,5
162,3,0,0,0,0,5,5
163,3,0,0,0,0,5,5
164,0,0,0,0,0,5,0
165,3,1,3,5,0,5,5
166,2,3,4,5,0,5,5
167,0,0,0,0,0,5,0
168,0,0,0,0,0,5,0
169,0,0,4,0,0,5,5
170,3,5,4,0,0,5,5
171,0,0,0,0,0,0,0
172,3,4,4,5,0,5,5
173,3,4,4,5,0,5,5
174,2,5,4,0,0,5,5
175,5,5,4,0,5,5,5
176,4,5,4,0,0,5,5
177,3,4,4,0,0,5,5
178,3,0,1,5,0,5,5
179,4,5,4,0,0,5,5
180,2,1,1,5,5,5,5
181,3,0,2,5,5,5,5
182,0,0,0,0,0,0,0
183,2,4,1,3,0,5,5
184,3,1,3,5,5,5,5
185,0,0,0,0,0,0,0
186,0,0,0,0,0,5,0
187,0,0,0,0,0,0,0
188,2,3,1,0,0,5,5
189,0,0,0,0,0,0,0
190,3,0,1,5,5,5,5
191,3,5,4,0,0,5,5
192,0,0,2,5,0,5,5
193,2,4,3,0,0,5,5
194,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0
196,3,4,4,0,0,5,5
197,3,3,3,5,0,5,5
198,2,5,4,0,0,5,5
199,3,4,1,5,0,5,5
200,0,0,0,0,0,0,0
