,C22,C64,C88,C117,C119A,C26A,C26B,C68A,C68B,C107A,C107B,C127,C137A,C137B,C172A,C172B,C27A,C27B,C69A,C69B,C108A,C108B,C138A,C138B,C173A,C173B,C29A,C29B,C71A,C71B,C39_Yes,C39_No,C39_0,C81_No,C110_Yes,C140_Yes,C140_No,C17_Pre-paid,C17_Monthly bill,C17_Fixed monthly fee,C17_Pay based on lights and appliances used,C17_Utility estimates consumption,C17_We never used electricity,C17_No bill for electricity,C17_Other,C57_Fixed monthly fee,C57_Pay based on lights and appliances used,C57_No bill for electricity,C57_Other,C41_Yes,C41_No,C83_No,C112_No,C130_No,C142_No,C175_No
0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9.3,0.0,0.0,0.0,0.0,,4.0,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,37.21,0.0,0.0,0.0,0.0,,24.0,,,,,,,,,,,4.0,,,,,,,,,,0.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9.3,0.0,0.0,0.0,0.0,19.0,20.0,,,,,,,,,,4.0,4.0,,,,,,,,,3.0,1.0,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
